Disease Name,ICD Code,Symptoms,Homeopathy Medicines,Source,Dosage/Usage,Precautions,Possible Causes,Home Tips
Cheilitis,DA00.0,"Dry lips, cracking, pain, redness, swelling, burning sensation","Natrum mur, Petroleum, Graphites","Boericke Materia Medica, Kent Repertory",5 drops 3× daily,Avoid spicy and salty foods. Stay hydrated. Use lip balm with SPF.,"Vitamin B deficiency, weather exposure, allergies, dehydration",Apply coconut oil or ghee. Use honey on lips. Drink warm milk with turmeric.
Oral leukoplakia,DA01.00,"White patches in mouth, irritation, difficulty chewing, burning sensation, soreness","Borax, Thuja, Nitric acid","Clarke Dictionary, Boericke","Borax 30C, 3 pellets twice daily",Avoid tobacco and alcohol. Regular dental check-ups recommended.,"Tobacco use, alcohol consumption, chronic irritation, HPV infection",Gargle with turmeric water. Eat vitamin A rich foods. Avoid betel nut.
Oral aphthae (Mouth ulcers),DA01.10,"Painful ulcers, burning sensation, red border, difficulty eating, white patches, recurrent sores","Borax, Merc sol, Nitric acid",Boericke Materia Medica,"Borax 30C, 3-5 pellets 3× daily","Avoid acidic, spicy foods. Maintain good oral hygiene. Reduce stress.","Stress, nutritional deficiency (B12, iron, folate), immune issues, hormonal changes",Apply honey directly on ulcers. Rinse with coconut water. Eat yogurt daily.
Oral mucositis,DA01.11,"Mouth sores, redness, bleeding gums, pain, swelling, burning sensation","Calendula, Merc sol, Arsenicum album","Boericke, Kent Repertory","Calendula MT gargle + Merc sol 30C, 4 times daily","Avoid hot, spicy foods. Use soft toothbrush. Rinse with saltwater.","Chemotherapy, radiation therapy, infection, autoimmune disorders",Gargle with turmeric saltwater. Eat cooling foods. Apply aloe vera gel.
Geographic tongue,DA03.1,"Red patches, burning sensation, sensitivity to spicy food, irritation, change in taste","Taraxacum, Arsenicum album, Merc sol",Boericke Materia Medica,"Taraxacum Q, 10 drops in water 2× daily","Avoid very spicy, acidic foods. Maintain oral hygiene.","Nutritional deficiencies, stress, allergies, immune system issues",Rinse with baking soda water. Eat probiotic foods. Avoid trigger foods.
Macroglossia,DA03.5,"Enlarged tongue, speech issues, airway obstruction, difficulty swallowing, drooling","Calcarea carb, Baryta carb",Clarke Dictionary,"Calcarea carb 200C, weekly dose",Consult doctor if breathing difficulty occurs. Monitor speech development.,"Congenital, Down syndrome, hypothyroidism, tumors",Speech therapy may help. Eat soft foods. Practice tongue exercises.
Sialadenitis,DA04.2,"Swollen salivary gland, pain, fever, pus discharge, difficulty opening mouth","Belladonna, Merc sol, Hepar sulph","Boericke, Kent Repertory",Belladonna 30C every 2 hours until fever subsides,Apply warm compress. Drink plenty of fluids. Avoid sour foods.,"Bacterial infection (usually Staph/Strep), poor oral hygiene, dehydration",Apply warm compress 3-4× daily. Drink herbal teas. Massage gently.
Sialolithiasis,DA04.4,"Salivary gland stone, swelling, pain while eating, reduced saliva, recurrent infections","Calcarea fluor, Silicea",Boericke Materia Medica,"Calcarea fluor 6X, 3-4 tablets 3× daily",Massage gland area gently. Stay hydrated. Avoid dehydration.,"Dehydration, reduced saliva flow, calcium buildup, gland inflammation",Drink 8-10 glasses water daily. Suck on lemon drops. Apply warm compress.
Teething syndrome,DA07.60,"Irritability, drooling, swollen gums, loss of appetite, sleeplessness, biting tendency","Chamomilla, Calcarea carb",Boericke Materia Medica,Chamomilla 30C every 2-3 hours as needed,Provide teething toys. Keep baby comfortable. Monitor temperature.,"Normal infant development, tooth eruption through gums",Give chilled teething ring. Massage gums gently. Offer cold fruit puree.
Dental caries,DA08.0,"Toothache, cavities, sensitivity, bad breath, pain on chewing, black spots on teeth","Kreosotum, Merc sol, Silicea","Kent Repertory, Boericke","Kreosotum 30C, 3 pellets 3× daily",Reduce sugar intake. Brush twice daily. Regular dental check-ups.,"Poor oral hygiene, excessive sugar intake, bacteria, dry mouth",Rinse with saltwater after meals. Avoid sugary foods. Chew sugar-free gum.
Pulpitis,DA09.0,"Severe tooth pain, sensitivity to hot/cold, throbbing pain, swelling, night aggravation","Belladonna, Spigelia",Boericke Materia Medica,Belladonna 30C every hour during acute pain,Avoid very hot/cold foods. See dentist promptly. Avoid chewing on affected side.,"Deep cavity reaching pulp, trauma, repeated dental procedures, crack in tooth",Rinse with warm saltwater. Apply clove oil. Avoid temperature extremes.
Periapical abscess,DA09.6,"Severe toothache, pus discharge, facial swelling, throbbing pain, fever, bad breath","Hepar sulph, Merc sol, Silicea",Boericke Materia Medica,"Hepar sulph 30C, 3-5 pellets 4× daily",See dentist immediately. Avoid pressure on tooth. Take pain relief if needed.,"Untreated cavity, trauma, previous dental work, infection spread",Rinse with saltwater frequently. Apply ice pack externally. Keep head elevated.
Periodontitis (Acute),DA0C.0,"Swollen gums, bleeding, tooth loosening, pain on chewing, pus pockets, bad breath","Merc sol, Hepar sulph",Kent Repertory,"Merc sol 30C, 3 pellets 3× daily",Use soft toothbrush. Avoid smoking. Regular dental cleaning needed.,"Poor oral hygiene, plaque buildup, smoking, genetics, diabetes",Oil pulling with coconut oil. Massage gums with salt. Eat vitamin C foods.
Gingivitis,DA0B,"Red gums, bleeding, tenderness, swelling, bad breath, painful chewing","Merc sol, Kreosotum",Boericke Materia Medica,"Merc sol 30C, 3 pellets 2-3× daily",Brush gently. Floss daily. Avoid tobacco. Regular dental visits.,"Plaque buildup, poor brushing/flossing, smoking, pregnancy hormones",Massage gums with salt water. Rinse with warm saltwater 3× daily.
GERD (Gastro-oesophageal reflux),DA22,"Heartburn, regurgitation, chest pain, dry cough, sour taste, difficulty swallowing","Robinia, Nux vomica, Carbo veg",Boericke Materia Medica,"Robinia 30C, 3-5 pellets 3× daily before meals","Avoid lying down after eating. Elevate head while sleeping. Limit caffeine, alcohol.","Weakened lower esophageal sphincter, hiatal hernia, pregnancy, obesity",Chew gum to increase saliva. Sleep with head elevated. Drink chamomile tea.
Gastritis (H. pylori),DA42.1,"Stomach pain, nausea, indigestion, vomiting, bloating, acidity","Nux vomica, Carbo veg, Arsenicum album",Boericke Materia Medica,"Nux vomica 30C, 3 pellets 3× daily before meals","Eat small frequent meals. Avoid alcohol, NSAIDs. Reduce stress.","H. pylori infection, NSAID overuse, excessive alcohol, stress, autoimmune",Eat bananas to neutralize acid. Drink cold milk. Avoid late night eating.
Duodenitis,DA51.0,"Abdominal pain, bloating, nausea, vomiting, indigestion, burning pain after meals","Kali bichromicum, Arsenicum album",Boericke Materia Medica,"Kali bichromicum 30C, 3 pellets 3× daily","Avoid spicy, acidic foods. Eat slowly. Stay upright after meals.","H. pylori, NSAIDs, alcohol, bile reflux, stress",Drink coconut water. Eat small frequent meals. Take probiotics.
Oesophageal ulcer,DA25.1,"Pain swallowing, chest pain, nausea, vomiting blood, weight loss, heartburn","Robinia, Kali bichromicum",Boericke Materia Medica,"Robinia 30C, 3-5 pellets 3× daily","Avoid tobacco, alcohol. Eat soft foods. Lose weight if overweight.","GERD, infections, medications, caustic ingestion, radiation",Eat soft bland foods. Drink aloe vera juice. Avoid citrus fruits.
Oesophagitis,DA24.0,"Painful swallowing, chest discomfort, burning sensation, cough, nausea, regurgitation","Nux vomica, Arsenicum album",Boericke Materia Medica,"Nux vomica 30C, 3 pellets 3× daily after meals",Avoid trigger foods. Eat small meals. Don't lie down after eating.,"Acid reflux, infections, medications, allergies, radiation therapy",Drink cold milk before meals. Eat oatmeal. Avoid trigger foods.
Dental abscess,DA09.62,"Severe toothache, swelling, pus discharge, bad breath, throbbing pain, fever","Hepar sulph, Merc sol, Silicea","Kent Repertory, Boericke","Hepar sulph 30C, 5 pellets 4× daily",Apply cold compress. Avoid hot foods. See dentist urgently.,"Untreated cavity, trauma, gum disease, bacterial infection",Rinse mouth with saltwater hourly. Apply cold compress. Avoid hot foods.
Fever (General),R50.9,"High temperature, chills, headache, body ache, weakness, sweating, fatigue","Belladonna, Aconitum, Bryonia","Boericke Materia Medica, Kent Repertory","Belladonna 30C every 2 hours for sudden high fever, Aconitum 30C for fever with anxiety",Rest completely. Drink plenty of fluids. Monitor temperature regularly.,"Viral infection, bacterial infection, inflammation, immune response",Take paracetamol 500mg every 6 hours. Use cold compress. Maintain hydration with ORS.
Viral Fever,B34.9,"Fever, headache, body ache, fatigue, chills, weakness, runny nose, sore throat","Gelsemium, Eupatorium perf, Rhus tox","Boericke, Kent Repertory","Gelsemium 30C for weakness with fever, Eupatorium perf 30C for bone pain",Complete bed rest. Avoid exposure to cold. Drink warm fluids only.,"Viral infections (influenza, dengue, chikungunya), seasonal changes",Take prescribed antivirals if needed. Use paracetamol for symptomatic relief. Maintain electrolyte balance.
Typhoid Fever,A01.0,"High fever, headache, abdominal pain, weakness, rose spots, constipation","Baptisia, Arsenicum album, Rhus tox","Boericke Materia Medica","Baptisia 30C for typhoid symptoms, Arsenicum album 30C for weakness",Strict isolation. Boiled water only. Complete antibiotic course as prescribed.,"Salmonella typhi bacteria, contaminated food/water, poor sanitation",Take prescribed antibiotics (Azithromycin 500mg daily). Maintain strict hygiene. Eat easily digestible food.
Malaria Fever,B54,"Periodic fever with chills, headache, vomiting, sweating, rigors","China officinalis, Natrum mur, Arsenicum album","Kent Repertory, Boericke","China 30C for periodic fever, Natrum mur 30C for headache with fever",Immediate medical attention. Complete antimalarial course. Use mosquito protection.,"Plasmodium parasite via Anopheles mosquito bites, tropical regions",Take prescribed antimalarials (Artemether-Lumefantrine). Use mosquito nets. Maintain hydration.
Dengue Fever,A90,"High fever, severe headache, eye pain, muscle pain, skin rash, low platelet count","Eupatorium perf, Crotalus horridus, Phosphorus","Boericke, Kent Repertory","Eupatorium perf 30C for bone-breaking pain, Crotalus horridus 30C for bleeding tendency",Monitor platelet count daily. Avoid aspirin. Seek immediate medical care if bleeding.,"Dengue virus transmitted by Aedes mosquito, tropical/subtropical regions",Take only paracetamol for fever. Maintain fluid intake. Monitor for warning signs of bleeding.
